DATE,VALUE,Price
3/21/11,100.02,3.714
3/14/11,102.9,3.668
3/7/11,102.71,3.678
2/28/11,95.63,3.563
2/21/11,84.25,3.326
2/14/11,84.99,3.284
2/7/11,88.58,3.31
1/31/11,86.96,3.245
1/24/11,89.15,3.227
1/17/11,91.47,3.24
1/10/11,89.07,3.274
1/3/11,91.09,3.261
12/27/10,90.24,3.246
12/20/10,88.28,3.107
12/13/10,88.35,3.054
12/6/10,87.47,3.066
11/29/10,83.4,2.981
11/22/10,81.51,3.014
11/15/10,86.47,3.076
11/8/10,85.75,3.068
11/1/10,82.22,2.895
10/25/10,80.94,2.944
10/18/10,82.34,2.989
10/11/10,82.44,2.965
10/4/10,79.39,2.916
9/27/10,74.1,2.905
9/20/10,75.14,2.977
9/13/10,75.29,3.018
9/6/10,73.85,2.86
8/30/10,73.31,2.793
8/23/10,74.35,2.833
8/16/10,76.91,2.878
8/9/10,81.83,2.925
8/2/10,78.58,2.882
7/26/10,78.04,2.933
7/19/10,76.67,2.874
7/12/10,74.5,2.852
7/5/10,74.13,2.859
6/28/10,77.14,2.921
6/21/10,77.27,2.922
6/14/10,74.12,2.863
6/7/10,72.64,2.896
5/31/10,71.22,2.917
5/24/10,68.77,2.975
5/17/10,73.62,3.068
5/10/10,78.38,3.119
5/3/10,84.62,3.126
4/26/10,83.44,3.072
4/19/10,83.83,3.085
4/12/10,85.2,3.05
4/5/10,84.12,3.04
3/29/10,80.78,2.979
3/22/10,81.74,3.022
3/15/10,81.34,2.88
3/8/10,80.82,2.823
3/1/10,78.96,2.79
2/22/10,78.61,2.794
2/15/10,74.38,2.66
2/8/10,74.06,2.713
2/1/10,73.84,2.741
1/25/10,76.28,2.799
1/18/10,79.44,2.846
1/11/10,82.55,2.884
1/4/10,79.78,2.788
12/28/09,76.25,2.731
12/21/09,72.37,2.692
12/14/09,70.63,2.672
12/7/09,76.15,2.69
11/30/09,76.32,2.708
11/23/09,77.88,2.716
11/16/09,78.13,2.731
11/9/09,79.27,2.793
11/2/09,78.36,2.832
10/26/09,79.89,2.824
10/19/09,76.97,2.66
10/12/09,71.4,2.558
10/5/09,69.55,2.498
9/28/09,67.72,2.524
9/21/09,71.5,2.595
9/14/09,70.5,2.626
9/7/09,68,2.63
8/31/09,71.63,2.683
8/24/09,72.19,2.706
8/17/09,68.87,2.693
8/10/09,71.38,2.735
8/3/09,67.68,2.67
7/27/09,66.16,2.616
7/20/09,62.13,2.589
7/13/09,60.6,2.659
7/6/09,67.47,2.766
6/29/09,69.46,2.822
6/22/09,69.93,2.877
6/15/09,71.35,2.866
6/8/09,68,2.922
6/1/09,65.18,2.746
5/25/09,60.65,2.644
5/18/09,58.18,2.569
5/11/09,56.63,2.518
5/4/09,51.24,2.256
4/27/09,48.49,2.187
4/20/09,48.98,2.14
4/13/09,50.24,2.144
4/6/09,50.87,2.1
3/30/09,52.07,2.14
3/23/09,50.63,2.057
3/16/09,45.72,1.94
3/9/09,44.57,2.032
3/2/09,41.58,1.96
2/23/09,37.25,1.916
2/16/09,36.28,1.997
2/9/09,40.42,1.918
2/2/09,41.67,1.922
1/26/09,43.02,1.949
1/19/09,36.5,2.011
1/12/09,42.27,1.966
1/5/09,44.58,1.866
12/29/08,35.17,1.687
12/22/08,37,1.732
12/15/08,44.75,1.725
12/8/08,44.47,1.652
12/1/08,52.19,1.777
